Date,TempHighF,TempLowF,TempAvgF,DewPointAvgF,HumidityAvgPercent,sealevelpressure,VisibilityAvgMiles,PrecipitationSumInches,Events
2/28/1999,77.1,34,60.5,30.9,36.2,1018.9,9.9,,
3/1/1999,84.3,46.2,66.7,49.7,57.6,1010.7,9.9,,
3/2/1999,86,62.6,71.3,50.6,58,1008.2,8.4,,
3/3/1999,66.3,46.8,56.7,28.1,35.2,1021.2,9.9,,
3/4/1999,70.3,32.4,56,45.2,68,1014.9,9.9,,
3/5/1999,78.9,65.5,70.1,63.6,81.1,1010.6,7.6,,
3/6/1999,75.7,55.5,65.6,55.2,71.9,1018.3,7.4,,
3/7/1999,60.9,52.7,56.2,47.7,74,1019.8,8.7,,
3/8/1999,82.5,57.2,69.8,54.9,65.8,1010.4,8.6,,
3/9/1999,71.6,43.1,58.7,43.2,57.8,1016.2,9.9,,
3/10/1999,77.5,55.5,66.5,59.9,80.1,1012.8,8.2,,
3/11/1999,77.5,63.1,70,63.8,82.1,1011.7,8.4,,
3/12/1999,75,52.3,65.5,63.5,93.7,1005.8,5.1,,
3/13/1999,53.6,42.8,47.8,37.5,69.2,1013,9.7,,
3/14/1999,62.7,39.2,50,27.1,43.9,1018.9,9.9,,
3/15/1999,66.3,30.4,51.9,33.2,51.3,1021.5,9.9,,
3/16/1999,75.3,34.2,57.9,47.9,71.4,1016.5,9.7,,
3/17/1999,73.5,48.5,63.8,57.9,82.5,1012.8,9,0,
3/18/1999,71.6,63.1,67.8,63,85.7,1015.2,8.2,,
3/19/1999,65.9,53.2,60.3,54.6,82.3,1021.6,9.4,,
3/20/1999,69.9,48.2,59.3,45,61.8,1023.7,9.6,,
3/21/1999,71.7,42.8,58.5,47.6,69.5,1021.9,9.9,,
3/22/1999,75.3,44.8,61.5,52.8,75.7,1015.5,9.5,,
3/23/1999,77.5,60.9,67.9,61.9,82.2,1012.6,8.9,0,
3/24/1999,69.9,57.2,62.9,57,81.3,1015.4,6.3,0,
3/25/1999,64.5,55.9,60.3,53.6,79.1,1019.9,7.8,0,
3/26/1999,70.3,44.9,59.1,49,71.1,1019.9,9.4,0,
3/27/1999,66.6,55.5,60.6,53.8,78.6,1014.5,9.5,0.784,rain
3/28/1999,74.8,55.1,64,59.1,85.3,1012.6,9.3,0.421,rain
3/29/1999,62.6,55.5,59.6,55.3,85.7,1019.9,7.9,0,
3/30/1999,65.9,55.4,58.8,55.3,88.7,1019,6.6,0,
3/31/1999,66.3,57.2,61.6,57.9,88.2,1012.4,7.3,0,
4/1/1999,71.6,60.9,67.1,67,99.5,1008.3,3.7,0.024,rain
4/2/1999,79,69.7,72.5,70.2,93,1007.6,5.3,0.012,rain
4/3/1999,78.9,59.2,72.4,60.2,69.3,1005.7,9,0.051,rain
4/4/1999,70,57.4,65.3,60.4,85,1007.9,6.1,0,
4/5/1999,82.6,62.9,73.7,47.7,50.2,1009.6,9.3,0.039,rain
4/6/1999,82.5,41.3,65.9,45.2,52,1018,9.9,0,
4/7/1999,82.4,61.1,73,66.6,81.2,1016.9,8.2,0,
4/8/1999,87.7,69.7,77.2,68.7,76.5,1011.5,9.2,0,
4/9/1999,87.7,69,76.1,68.9,80.2,1007.5,7.7,0,
4/10/1999,87,68.1,75.9,59.4,64.4,1007.6,8.4,0,
4/11/1999,84.3,53.9,72.4,47,44.1,1016.6,9.9,0,
4/12/1999,80.7,64.1,73.4,58.2,59.4,1020.5,9.9,0.012,rain
4/13/1999,79,68.1,73.3,68.2,84.5,1013.4,8.5,0,
4/14/1999,87.7,62.4,74.4,53,54.1,1003.4,9.6,0.232,rain
4/15/1999,66.4,51.7,60,39.1,46.9,1016.3,9.9,0,
4/16/1999,65.4,46.4,55.9,30.1,39.1,1023,9.9,0,
4/17/1999,73,30.6,56.7,32.5,46.6,1024.8,9.9,0,
4/18/1999,77.1,36,61.1,45.1,57.6,1025.7,9.9,0,
4/19/1999,84.3,57.1,71.1,58.5,67.6,1020.4,9.9,0,
4/20/1999,84.8,62.3,72.7,62,72.5,1014.6,9.6,0,
4/21/1999,78.7,68,71.7,64.1,77.2,1007.7,9.9,0,
4/22/1999,86.1,71.5,76.6,68.3,76.3,1004.1,9.6,0,
4/23/1999,87.9,73.1,79.2,71.3,77.7,1009.5,8.7,0,
4/24/1999,82.6,71.6,77.3,70.9,81.5,1015.6,9.3,0,
4/25/1999,78.8,66.6,73.6,68.1,83.6,1011.8,9.4,0.28,rain
4/26/1999,78.9,62.7,70.7,67.4,89.8,1006.7,8.1,0.622,rain
4/27/1999,87.9,64.1,75.2,63.6,70.8,1009.7,8.4,0,
4/28/1999,87.8,63,74.7,63.3,71,1010.1,8.5,0,
4/29/1999,87.8,64.5,75.5,65.4,73.7,1010.6,7.8,0,
4/30/1999,80.7,64.1,73.3,62.3,69.6,1014.4,9.9,0,
5/1/1999,73.6,64.3,69.5,59.2,69.9,1014.6,9.9,0,
5/2/1999,73.6,64.6,69.7,63,79.6,1012.2,9.9,0,
5/3/1999,84.1,69.1,74.8,70.2,86.5,1008.2,8.5,0,
5/4/1999,93.4,73.6,80.1,68.6,72.1,999.3,8.8,0.012,rain
5/5/1999,91,64.5,79,51.3,41.5,1001.7,8.1,0,
5/6/1999,82.5,50.3,71.1,44.4,41.4,1011.7,9.9,0,
5/7/1999,84.3,46.9,70.4,48.5,49.3,1013.3,9.9,0,
5/8/1999,90.1,53.9,74.8,60.3,63.2,1013.2,9.8,0,
5/9/1999,86.1,73.6,78.7,71.3,78.8,1011.1,7.8,0,
5/10/1999,75.8,64.1,67.5,63,85.7,1008.8,9.2,1.131,rain
5/11/1999,82.6,62.4,71.9,65.9,81.6,1008.4,9.3,0,
5/12/1999,76.7,68.9,72.7,67.5,83.9,1011.6,8.4,0.012,rain
5/13/1999,82.9,62.8,72.3,63.5,75.7,1013.3,8,0,
5/14/1999,87.6,69,77.4,69.9,78.9,1010.6,8.3,0,
5/15/1999,89.7,73.1,80.4,71.5,76.3,1010.5,9,0,
5/16/1999,88,71.8,79.4,70.8,76.9,1011.5,9,0,
5/17/1999,87.6,64.7,79.2,71.4,77.9,1012.5,8.7,0,
5/18/1999,77.1,65.4,70.1,64.1,81.7,1019.2,9.8,0,
5/19/1999,82.9,62.7,73.3,64.1,74.6,1017.7,8.2,0,
5/20/1999,86,69.9,76.7,66.9,74.2,1014.3,8.9,0.012,rain
5/21/1999,87.6,69.8,77.3,68.6,76.2,1015.3,8.8,0,
5/22/1999,87.9,69.9,78.6,67.8,71.9,1016.5,9.6,0,
5/23/1999,91.2,71.7,79.7,68.8,71.9,1016.7,9.4,0,
5/24/1999,87.7,72,79.2,68.3,70.5,1016.4,9.7,0.652,rain
5/25/1999,86.4,69.7,77.6,68.1,74.4,1013.4,9.4,0,
5/26/1999,85.6,67.2,74.6,66.8,78.1,1014.4,9.4,0.835,rain
5/27/1999,85.8,66.6,75.3,64.9,72,1015.6,9.9,0,
5/28/1999,75.6,66.5,70.8,66.3,85.9,1016.6,9.2,0.78,rain
5/29/1999,84.6,64.7,73.6,67.6,82.9,1015.3,9.7,0.003,rain
5/30/1999,89.1,71.9,80.5,71.8,76.5,1014.2,9.6,0,
5/31/1999,88.2,73.1,80.2,72,77.1,1011.7,9.7,0,
6/1/1999,91.5,73.5,81.7,71.4,73.3,1009.6,9.4,0,
6/2/1999,89.3,74.9,80.7,70.9,73.6,1013.4,9.8,0,
6/3/1999,89.4,73.2,80.2,70,72.8,1014.9,9.9,0,
6/4/1999,90.7,74.4,81.1,70.7,72.6,1013.7,9.9,0,
6/5/1999,91.2,74.4,81.6,70,69.9,1012.2,9.9,0,
6/6/1999,91.2,73.2,80.9,70.3,72.6,1014.9,9.4,0,
6/7/1999,89.8,71.2,80,69,71.8,1016.2,9.7,0,
6/8/1999,89.7,70.1,78.5,69.1,75.3,1013.8,9.4,0,
6/9/1999,88.9,70.4,78.9,70.1,76.7,1012.1,8.6,0,
6/10/1999,91.1,68.2,80.4,69.2,71.7,1011.9,9.2,0,
6/11/1999,92.4,70.9,81,70.3,72.8,1012.8,9.7,0,
6/12/1999,91.6,72.5,80.5,70.7,74.8,1013.9,9.7,1.201,rain
6/13/1999,88.4,71.7,76.6,70,81.2,1015,9.8,0.043,rain
6/14/1999,86.9,68.3,77.4,68.5,75.9,1016.8,9.8,0.071,rain
6/15/1999,82.5,70.7,75.8,69.7,82.1,1015.2,9,2,rain
6/16/1999,88,69.5,77.8,68.1,74.9,1014.2,9.4,0,
6/17/1999,82.7,70.7,75.4,68.2,79.3,1018.3,8.6,0,
6/18/1999,86.6,67.9,76.9,66.5,72,1018.6,8.4,0,
6/19/1999,88.7,70.9,78.4,69.9,77.2,1015.9,7.6,0.13,rain
6/20/1999,75.3,71.7,73.4,71.5,93.8,1015.8,4.7,0.822,rain
6/21/1999,80.8,70.9,73.3,71.4,94,1015.4,7.6,0.873,rain
6/22/1999,81.7,71.7,76.3,72.8,89.6,1012.8,8.1,0.477,rain
6/23/1999,91,74.9,81,72.5,77.2,1011.2,9.8,0,
6/24/1999,88,75.3,80.5,73.5,80.2,1011.3,9.7,0.039,rain
6/25/1999,86.1,74.4,79.2,74.6,86.5,1009.7,9.3,0.146,rain
6/26/1999,90,73.5,81.4,73.9,79.8,1009.3,9.7,0,
6/27/1999,91.2,78.2,83.6,75,76.5,1010.1,9.6,0,
6/28/1999,91.5,78.9,84.2,74.2,73,1010.9,9.6,0,
6/29/1999,90.5,77,82.7,73.2,74.1,1010.8,9.5,0,
6/30/1999,91.2,74.4,82,71.4,72.1,1008.5,9.5,0,
7/1/1999,92.9,75.7,82.8,73.2,74.6,1009.2,9.9,0,
7/2/1999,92,77,83.8,73.7,73.1,1012.3,9.5,0.013,rain
7/3/1999,92.6,72.1,82.4,73.1,76.2,1014.7,9,0.152,rain
7/4/1999,89.3,71.4,78.3,73,85.1,1017,8.2,0.071,rain
7/5/1999,89.7,71.1,80,72.4,80.6,1018.4,7.2,0.196,rain
7/6/1999,91.9,71,79.6,71.6,79,1018,9.1,0,
7/7/1999,91.8,71.8,80.8,71.7,76.7,1015.8,9.7,0.016,rain
7/8/1999,93.5,71.8,82.2,72.4,74.9,1013.6,8.1,0,
7/9/1999,92,73.1,82.4,71.7,73.2,1013.6,8.8,0,
7/10/1999,88.1,73.1,79.6,73.5,83.2,1015.6,9.2,2.14,rain
7/11/1999,87,73.1,76.2,72.9,90.2,1017.4,9.8,0.87,rain
7/12/1999,89.6,70.9,77.6,71.2,82.4,1018.4,9.9,0,
7/13/1999,91.8,70.2,79.4,72.1,80.7,1017.3,9.4,0,
7/14/1999,91.1,72,81.2,70.5,73.1,1015.2,9.4,0,
7/15/1999,91.9,73.1,81.3,69.4,70.7,1015.1,9.1,0,
7/16/1999,93.4,68.4,80.9,70.6,74.1,1015.7,9.4,0,
7/17/1999,86.5,71.9,77.7,73.6,87.6,1018,9,0.039,rain
7/18/1999,89.9,70.1,77.6,72.4,85.7,1019.3,9.5,0.291,rain
7/19/1999,88.1,71.1,78.7,73.2,84.6,1018,7.9,0.096,rain
7/20/1999,85.8,71,77.2,72.7,87,1017.2,9.5,0.051,rain
7/21/1999,84.4,71.2,76.6,73.6,91.1,1019.5,9.3,0.398,rain
7/22/1999,92,71.8,81.6,73.2,78.1,1020.4,9.3,0,
7/23/1999,93.7,72,81.7,71.2,74.1,1017.7,9.3,0,
7/24/1999,93.1,71,80.7,70.2,73.8,1014.2,9.8,0,
7/25/1999,92.9,68.3,80.8,71.1,75.2,1013.6,9.6,0,
7/26/1999,92.9,71.9,82.7,71.8,73,1014.2,9.3,0,
7/27/1999,94,71.5,83.1,73.2,74.7,1015.6,9.3,0,
7/28/1999,95.2,74.8,83.9,71.8,70.7,1015.8,9.6,0,
7/29/1999,97.1,69.4,83.2,70.5,69.7,1013.6,9.4,0,
7/30/1999,97.1,73.2,84.7,72.4,70.3,1010.2,9.5,0,
7/31/1999,98,75,85.5,72,67.9,1009.9,9.9,0,
8/1/1999,97,73.2,84.2,72.2,71.5,1013.1,9.1,0,
8/2/1999,96.1,71.9,83.9,71.2,69.5,1016,9.4,0,
8/3/1999,96.9,72.1,84.2,71.8,69.9,1015.9,9.2,0,
8/4/1999,96.3,74,84.3,74.3,75.4,1013.8,6.5,0.011,rain
8/5/1999,98.9,73.1,85.4,71.8,69.3,1011.9,7.2,0,
8/6/1999,98,71.9,86,69.6,62.9,1012,8.6,0,
8/7/1999,97.9,71.9,85.4,72.1,67.5,1012.8,7.3,0,
8/8/1999,97.1,72,85,73.1,71.2,1013.6,7.9,0,
8/9/1999,98.9,75.8,87,69.9,60.5,1011.6,9.4,0,
8/10/1999,98.9,74,86.6,68.9,59.9,1010.7,9.9,0,
8/11/1999,98.9,74.9,86.7,70.4,63,1012,9.8,0,
8/12/1999,100.1,74.9,87.4,71,62.6,1012.4,9.9,0,
8/13/1999,100.1,74.9,86.7,70.2,62.2,1012.5,9.9,0,
8/14/1999,101.8,71.9,87.2,69.4,60.9,1012.8,8.9,0,
8/15/1999,102.7,74.2,89.4,67.8,52.6,1013.3,9.9,0,
8/16/1999,98.8,74.1,86.6,68.6,60.3,1016.2,9.3,0,
8/17/1999,97,67.5,81.7,69,69,1017.1,8.8,0.001,rain
8/18/1999,96.1,73.1,83.8,71,69.3,1014.7,9.5,0,
8/19/1999,101.5,70.2,86.1,67.2,59.1,1012.9,9.9,0,
8/20/1999,104,71.2,88.7,65.9,52.6,1012.8,9.8,0,
8/21/1999,104,75.9,88.8,65.1,49.7,1011.8,9.4,0,
8/22/1999,94.9,73.1,84,70,66.2,1010.9,9.6,0,
8/23/1999,90.9,78,82.8,72.4,72.1,1010.1,9.9,0.012,rain
8/24/1999,94.9,74.9,83.4,71.8,70.8,1010.6,9.7,0.003,rain
8/25/1999,98.8,74.1,85.5,70.4,65.2,1011.4,9.9,0,
8/26/1999,98.9,73.2,85.7,70.2,64.5,1011.9,9.8,0,
8/27/1999,100.1,75.6,87.3,69.5,60,1012,9.9,0,
8/28/1999,98,72.1,85.3,69,62.3,1012.5,9.9,0,
8/29/1999,99.7,71.9,84.6,66.8,59.1,1011.9,9.8,0.001,rain
8/30/1999,99.9,68.3,83.3,62.9,57.5,1012.3,8.1,0,
8/31/1999,98,68.4,83.4,62.9,55.1,1011.4,7.5,0,
9/1/1999,93.8,69.3,82,67,63.7,1011.8,7.8,0,
9/2/1999,94.7,70.2,82.9,69,65.8,1011,8.7,0,
9/3/1999,97,74.9,84.2,68.6,63.6,1010.2,8.7,0,
9/4/1999,97,75.8,84,71.7,69.7,1010.9,9.9,0.088,rain
9/5/1999,97.7,73.2,84.2,71.2,69,1012.6,9.7,0,
9/6/1999,95.8,69.2,80.8,68.4,70,1013.1,9.9,0,
9/7/1999,95,69.2,81.3,67.9,68.1,1011.2,9.7,0,
9/8/1999,97.1,69.3,82.8,69.1,67,1010.6,9.8,0.006,rain
9/9/1999,98.7,71.9,83.4,65.5,58.7,1012.6,9.9,0,
9/10/1999,95.9,68.2,82.3,67.1,63.5,1011.6,9.8,0,
9/11/1999,96.1,68.6,83,68,64.9,1010.2,7.9,0,
9/12/1999,96.1,69.3,82.6,67.5,65.3,1012.6,8.3,0,
9/13/1999,90.9,70.1,79,66.9,69,1017.1,8.9,0,
9/14/1999,91,69.1,78.3,63.6,64,1015.8,9.7,0,
9/15/1999,92.8,66.1,78,56.6,52,1014.2,9.9,0,
9/16/1999,92.7,54.4,73.7,50.3,51.3,1016.6,9.9,0,
9/17/1999,93.5,58.3,75.7,54.8,52.6,1017.2,9.9,0,
9/18/1999,92.8,60.8,76.8,59.7,60.6,1014,9,0,
9/19/1999,94.9,61.7,78.4,59.4,58,1010.9,9.6,0,
9/20/1999,98.8,61.3,81.3,61.1,56,1011.5,9.8,0,
9/21/1999,82.8,66.8,75.8,57.1,54,1017.3,9.9,0,
9/22/1999,83,52.4,68.6,42.1,41.3,1019.4,9.9,0,
9/23/1999,87.9,46.3,65.4,42.2,49.9,1015.7,9.9,0,
9/24/1999,91.1,51.6,72.8,55.2,59.4,1010.8,9.8,0,
9/25/1999,91,69.2,78.3,67.7,72.6,1008.1,9.7,0.012,rain
9/26/1999,92.8,71,81.1,68.8,69.6,1007.9,9.8,0,
9/27/1999,93.8,69.3,81.2,67.7,67.8,1009.7,9.3,0,
9/28/1999,92.9,71.9,81.1,70.7,73.8,1013.6,8.6,0,
9/29/1999,77.1,62,68.3,48.7,52.7,1023,9.8,0,
9/30/1999,80,47,65,41.9,48,1020.3,9.9,0,
10/1/1999,85.9,47,66.8,47.9,57.3,1015.3,9.9,0,
10/2/1999,91.1,52.1,72.2,57.7,66,1013.3,9,0,
10/3/1999,92,71,79.5,70.5,76.2,1015.1,9.7,0.189,rain
10/4/1999,84.7,64.1,73.5,61.1,68.9,1018.8,9,0,
10/5/1999,87.9,60.3,72.5,56.5,59.2,1019.4,9.9,0,
10/6/1999,87.1,55.8,69.6,52.8,61.8,1016.8,9.3,0,
10/7/1999,88.7,47.8,67.2,46.7,55.7,1011.5,9.7,0,
10/8/1999,91,57.6,73.6,55,60.2,1009.5,9.3,0,
10/9/1999,85.9,64.5,74.3,57.7,57.5,1013.1,9.9,0,
10/10/1999,88.8,60.6,73.5,58.1,62.8,1016.8,9.7,0,
10/11/1999,88.8,61,74.3,59,62.4,1018.9,9.8,0,
10/12/1999,88.6,60.6,73,60.1,67.5,1017.9,9.8,0,
10/13/1999,89.8,59.5,73.6,60.1,68,1016.7,9,0,
10/14/1999,91.6,58.3,74.8,59.8,64.8,1015.4,8.9,0,
10/15/1999,89,69.6,78.5,66.8,71.2,1011.9,8.9,0,
10/16/1999,88,64.7,76.1,67.5,77.4,1011.6,8.3,0,
10/17/1999,75.3,51.9,61.8,55.6,80.3,1017.8,9.9,0.363,rain
10/18/1999,57.4,48.6,52.5,48.5,86.9,1021.2,8.6,0.424,rain
10/19/1999,66.6,45.2,54.7,47,78.1,1025.2,9.9,0,
10/20/1999,73,40.7,55.3,41.3,67,1027.3,9.9,0,
10/21/1999,77.9,38.7,56.5,42.4,67.2,1023.3,9.9,0,
10/22/1999,87.3,43.2,62.6,44.8,62,1018.5,9.9,0,
10/23/1999,80,49.6,63.1,41.9,52.7,1021.5,9.9,0,
10/24/1999,77,42.7,58.4,38.3,52.7,1024.2,9.9,0,
10/25/1999,83.6,38.9,59.2,45.2,66.7,1023.1,9.9,0.019,rain
10/26/1999,81.9,45.6,62.8,49.2,67.1,1021.9,9.4,0,
10/27/1999,81.9,43.9,63.6,51.2,68.5,1020.6,9.4,0,
10/28/1999,83.7,52.4,68.3,56.4,70.1,1020.1,8.6,0,
10/29/1999,84.4,59.5,70.9,61,73.5,1016.2,9.4,0,
10/30/1999,70,48.1,63.3,57.8,83.2,1017,8.7,0.933,rain
10/31/1999,66.5,46.3,56.7,47.3,73.1,1018.8,9.9,0.012,rain
11/1/1999,78,53.5,64.1,53.3,69.9,1017.3,9.9,0,
11/2/1999,64.8,38.4,56.4,29.9,40.2,1028,9.9,0,
11/3/1999,69,30.4,48.8,29.1,56.4,1025.8,9.9,0,
11/4/1999,79.9,40.2,60.6,49.6,71.9,1022.4,9,0,
11/5/1999,81.8,52.9,66.8,58.5,78.1,1025.2,7.2,0,
11/6/1999,79.6,51.9,63.4,55.3,79,1028.3,7.3,0,
11/7/1999,78.9,51.4,61.8,51,73.7,1027.1,7.6,0,
11/8/1999,78.9,44.4,59.8,46.8,68.3,1022.6,9.5,0,
11/9/1999,79.8,47.9,62.9,53.4,75.6,1019.5,6.9,0,
11/10/1999,78.9,51.9,62.4,56.5,83.7,1020.7,6.5,0.012,rain
11/11/1999,82.7,49.5,63.3,52.2,72.2,1023,8.9,0,
11/12/1999,79.9,47,62.5,51.5,71.1,1024.1,9.3,0,
11/13/1999,82.1,46.5,61.8,48.9,68.7,1022.3,8.4,0,
11/14/1999,82.9,42.6,59.3,45.5,66.9,1021.4,8.8,0,
11/15/1999,83.7,45.5,62.3,46.5,62,1019.2,9.7,0,
11/16/1999,81.9,45.5,62,47.5,64.7,1017.4,9.6,0,
11/17/1999,78.9,45.7,62.3,53,74.6,1017.4,7.3,0,
11/18/1999,82.6,48.8,65.4,56.6,76.6,1015.8,8.5,0,
11/19/1999,78.7,60.3,70.7,58.8,68.1,1017.7,9.9,0,
11/20/1999,75.5,47.2,58.6,40.4,55.1,1018.2,9.9,0,
11/21/1999,81.6,52.8,69.3,59.7,73.3,1009.3,9.9,0,
11/22/1999,85.4,64.4,73.7,64,74.9,1008.6,9.5,0,
11/23/1999,71.8,53.3,64.6,47.6,58.8,1018,9.3,0.027,rain
11/24/1999,57.4,45.9,51.5,39.4,64.7,1023.9,9.9,0.014,rain
11/25/1999,60.1,32.2,46.2,36.7,73.6,1022.4,9.9,0.158,rain
11/26/1999,69.2,28.3,47,32.1,63.6,1018.7,9.9,0,
11/27/1999,77.1,31,53.9,39.1,63.8,1018.9,9.9,0,
11/28/1999,79,40.9,57.4,48.9,77.5,1023.8,8,0,
11/29/1999,72.8,46.1,57.9,47.5,70.9,1031.5,9.9,0,
11/30/1999,67.7,43.7,57,39.5,53.9,1033.3,9.9,0,
12/1/1999,72.8,35.3,55.9,46.1,72.3,1025.7,9.4,0,
12/2/1999,77.8,60.2,68.2,61.3,80.3,1014.8,9.1,0,
12/3/1999,82.8,62.6,71.5,62.1,74.8,1008,9.5,0,
12/4/1999,74,52.7,66.7,46.3,53.9,1013.1,9.8,0.184,rain
12/5/1999,60.8,32.3,47.7,23.3,42.5,1025.4,9.9,0,
12/6/1999,61,22.1,38.9,18.7,50.1,1026,9.9,0,
12/7/1999,71.7,27.1,50.7,36.1,59.8,1019,9.9,0,
12/8/1999,77.1,60,67.6,60.7,79.3,1014.5,9.9,0.027,rain
12/9/1999,70.8,44.8,61.9,43.2,54.6,1019,9.9,0.042,rain
12/10/1999,63.9,35.8,48.7,32.5,55.9,1022.7,9.9,0,
12/11/1999,69.9,46.2,58.8,56.1,90.9,1011.1,6.6,0.083,rain
12/12/1999,68.5,47.7,54.8,50.4,85.2,1011.5,9.6,0.825,rain
12/13/1999,59.2,30.7,46.2,32.7,62.9,1018.7,9.9,0,
12/14/1999,73,27.6,49.6,27.4,51.2,1015.8,9.5,0,
12/15/1999,57.8,33.7,44.6,18.3,39.1,1028,9.9,0,
12/16/1999,62.5,24.7,41.7,17.7,46.9,1025.5,9.9,0,
12/17/1999,70.6,29.2,47.9,35.9,65.5,1018.5,9.9,0,
12/18/1999,58.9,31.7,48.6,38.1,68.6,1018.7,9.5,0,
12/19/1999,70,27.8,46.7,38.2,76.4,1012.7,7,0,
12/20/1999,54.6,38.7,45,37.9,76.9,1019.1,8.4,0.278,rain
12/21/1999,44.9,30.2,38.9,31.5,75.4,1024.7,9.9,0.012,rain
12/22/1999,53.7,27.8,41.7,32.4,71.8,1029.3,9.7,0,
12/23/1999,59.8,32.7,46.5,33.2,63.5,1033.5,9.6,0,
12/24/1999,69.1,35.5,50.3,32.9,56.6,1031.4,9.9,0,
12/25/1999,57.8,45.7,51.6,33.1,49.6,1032.4,9.9,0,
12/26/1999,65,42.3,55.1,37.2,53.4,1031.2,9.9,0,
12/27/1999,71.1,51.5,60.2,39.6,47.6,1023.6,9.9,0,
12/28/1999,69.3,38.2,52.7,30.7,46.1,1023.7,9.9,0,
12/29/1999,78.7,35,54,30.9,47.6,1015.9,9.9,0,
